session_id,date,day,start_hour,duration_min,interruptions,meeting_overlap,caffeine,focus,energy,tasks_completed,bugs_introduced,productivity
S221,2026-04-16,Thursday,15,98,1,0,1.0,5.0,6.0,6,0,80.1
S157,2026-04-16,Thursday,16,71,1,1,0.0,8.0,6.0,9,0,98.0
S256,2026-04-18,Saturday,10,64,0,0,1.0,5.0,6.0,5,0,81.8
S100,2026-04-18,Saturday,15,127,3,1,1.0,8.0,7.0,7,0,88.1
S118,2026-04-18,Saturday,15,57,0,1,1.0,5.0,7.0,6,1,71.3
S306,2026-04-18,Saturday,16,51,1,0,0.0,4.0,6.0,5,2,53.0
S329,2026-04-18,Saturday,16,120,2,1,0.0,3.0,5.0,7,2,66.8
S241,2026-04-18,Saturday,17,80,0,0,1.0,4.0,3.0,6,0,83.8
S390,2026-04-19,Sunday,8,69,1,0,1.0,5.0,6.0,8,2,78.6
S058,2026-04-19,Sunday,9,82,1,0,1.0,6.0,9.0,6,1,77.8
S273,2026-04-19,Sunday,10,110,0,0,1.0,5.0,8.0,8,1,94.9
S357,2026-04-19,Sunday,11,125,2,0,1.0,7.0,7.0,7,1,87.6
S182,2026-04-19,Sunday,18,89,5,1,1.0,3.0,7.0,3,2,45.2
S083,2026-04-20,Monday,11,82,2,0,1.0,8.0,8.0,6,0,83.4
S178,2026-04-20,Monday,12,114,2,0,0.0,8.0,4.0,8,1,80.4
S287,2026-04-20,Monday,13,77,3,0,0.0,6.0,7.0,6,2,56.4
S262,2026-04-21,Tuesday,10,129,2,1,0.0,8.0,10.0,8,0,82.1
S350,2026-04-21,Tuesday,12,71,1,0,1.0,8.0,5.0,5,1,84.1
S168,2026-04-21,Tuesday,15,77,2,1,0.0,6.0,4.0,6,1,70.0
S187,2026-04-21,Tuesday,15,89,1,0,1.0,5.0,5.0,8,1,72.5
S041,2026-04-21,Tuesday,17,80,1,0,1.0,6.0,5.0,6,1,77.1
S251,2026-04-22,Wednesday,9,86,2,0,0.0,6.0,7.0,6,1,72.0
S392,2026-04-22,Wednesday,13,95,3,0,0.0,8.0,7.0,7,0,82.8
S230,2026-04-22,Wednesday,16,72,2,0,0.0,6.0,6.0,9,1,67.4
S259,2026-04-22,Wednesday,16,55,2,0,0.0,6.0,7.0,6,1,61.2
S023,2026-04-23,Thursday,15,36,0,0,,7.0,8.0,5,0,75.7
S253,2026-04-23,Thursday,15,20,1,0,0.0,7.0,7.0,3,0,71.2
S349,2026-04-23,Thursday,16,116,0,1,0.0,8.0,5.0,8,1,73.0
S072,2026-04-24,Friday,10,93,2,0,0.0,6.0,8.0,6,0,77.1
S398,2026-04-24,Friday,15,53,1,0,1.0,6.0,8.0,5,2,83.5
S052,2026-04-24,Friday,17,52,1,0,0.0,7.0,7.0,4,0,84.4
S224,2026-04-25,Saturday,9,70,2,1,1.0,5.0,8.0,4,1,69.0
S009,2026-04-25,Saturday,10,133,3,0,1.0,8.0,9.0,7,0,92.6
S102,2026-04-25,Saturday,10,98,2,0,0.0,6.0,8.0,6,1,86.3
S339,2026-04-25,Saturday,10,114,3,0,0.0,9.0,4.0,9,0,82.9
S142,2026-04-27,Monday,19,57,0,0,0.0,6.0,6.0,5,0,85.3
S032,2026-04-28,Tuesday,12,38,1,0,0.0,8.0,9.0,5,1,84.5
S078,2026-04-28,Tuesday,13,88,1,0,0.0,5.0,6.0,7,1,82.7
S363,2026-04-28,Tuesday,17,94,1,0,0.0,6.0,,4,0,92.6
S148,2026-04-29,Wednesday,11,69,2,0,0.0,7.0,9.0,5,0,77.9
S326,2026-04-29,Wednesday,12,72,2,0,1.0,8.0,8.0,7,1,89.0
S327,2026-04-29,Wednesday,19,100,1,0,1.0,7.0,4.0,8,1,97.9
S189,2026-04-30,Thursday,10,50,3,0,1.0,6.0,8.0,3,0,48.2
S119,2026-04-30,Thursday,11,72,1,1,1.0,9.0,10.0,7,1,91.0
S315,2026-04-30,Thursday,11,77,2,0,1.0,7.0,7.0,5,1,80.3
S384,2026-04-30,Thursday,12,111,7,1,1.0,7.0,9.0,6,2,64.3
S097,2026-04-30,Thursday,19,36,0,0,0.0,4.0,5.0,4,1,78.3
S346,2026-05-02,Saturday,13,78,4,0,0.0,6.0,8.0,6,0,57.9
S211,2026-05-02,Saturday,15,71,2,0,0.0,7.0,7.0,6,0,72.8
S209,2026-05-03,Sunday,9,94,2,0,1.0,5.0,7.0,6,2,81.1
S380,2026-05-03,Sunday,11,78,2,0,1.0,6.0,5.0,6,1,90.8
S292,2026-05-03,Sunday,15,62,3,0,1.0,7.0,7.0,6,1,78.9
S206,2026-05-03,Sunday,17,115,1,0,0.0,5.0,8.0,6,0,89.8
S039,2026-05-04,Monday,8,47,1,0,0.0,5.0,7.0,3,1,55.7
S216,2026-05-04,Monday,11,100,2,0,0.0,7.0,6.0,7,2,82.8
S281,2026-05-04,Monday,12,84,3,0,1.0,7.0,,6,1,91.7
S111,2026-05-04,Monday,13,108,0,0,0.0,4.0,7.0,7,2,89.4
S143,2026-05-04,Monday,16,53,0,0,1.0,6.0,5.0,5,0,82.8
S152,2026-05-05,Tuesday,10,64,3,0,1.0,7.0,7.0,5,2,73.4
S314,2026-05-05,Tuesday,11,71,2,0,1.0,7.0,,5,1,73.9
S299,2026-05-05,Tuesday,12,32,0,0,,7.0,3.0,5,2,87.5
S399,2026-05-05,Tuesday,20,42,3,0,,6.0,4.0,3,0,56.7
S271,2026-05-06,Wednesday,12,94,3,1,1.0,5.0,10.0,4,0,61.6
S154,2026-05-06,Wednesday,14,85,5,0,0.0,5.0,6.0,4,2,54.4
S342,2026-05-06,Wednesday,14,105,1,0,1.0,5.0,5.0,8,2,93.0
S096,2026-05-06,Wednesday,17,59,2,1,0.0,6.0,4.0,6,1,60.8
S353,2026-05-07,Thursday,10,91,5,0,1.0,8.0,9.0,5,0,68.6
S307,2026-05-07,Thursday,11,63,1,0,1.0,8.0,7.0,9,0,86.3
S190,2026-05-07,Thursday,17,77,2,0,1.0,10.0,6.0,7,1,96.7
S263,2026-05-07,Thursday,18,68,1,0,0.0,9.0,6.0,7,0,83.8
S333,2026-05-08,Friday,12,51,2,1,1.0,7.0,7.0,6,1,79.9
S136,2026-05-08,Friday,14,52,4,0,1.0,5.0,6.0,4,1,52.8
S400,2026-05-08,Friday,14,99,3,0,1.0,7.0,5.0,7,0,76.2
S226,2026-05-08,Friday,16,83,1,0,0.0,7.0,7.0,7,0,76.7
S239,2026-05-08,Friday,16,82,1,0,0.0,5.0,6.0,6,1,62.8
S368,2026-05-09,Saturday,9,95,3,0,1.0,6.0,5.0,5,0,78.9
S338,2026-05-09,Saturday,10,111,1,0,1.0,8.0,5.0,8,2,92.3
S088,2026-05-09,Saturday,12,73,3,0,0.0,6.0,6.0,4,1,75.7
S309,2026-05-09,Saturday,13,81,3,0,1.0,6.0,7.0,7,0,73.1
S066,2026-05-10,Sunday,10,134,2,0,1.0,8.0,8.0,8,2,99.7
S167,2026-05-10,Sunday,16,34,2,0,1.0,6.0,5.0,3,1,60.5
S321,2026-05-10,Sunday,17,56,2,0,0.0,6.0,6.0,3,1,57.1
S254,2026-05-11,Monday,10,98,4,0,1.0,7.0,8.0,6,2,67.5
S077,2026-05-11,Monday,11,65,1,0,0.0,10.0,8.0,7,1,96.9
S169,2026-05-11,Monday,11,109,1,1,1.0,8.0,7.0,7,1,97.0
S294,2026-05-11,Monday,11,95,3,0,1.0,9.0,6.0,7,0,89.2
S371,2026-05-11,Monday,11,25,2,0,0.0,6.0,8.0,3,0,60.8
S199,2026-05-12,Tuesday,13,79,1,0,0.0,4.0,7.0,5,1,53.8
S197,2026-05-12,Tuesday,17,105,2,0,0.0,6.0,6.0,5,1,75.1
S139,2026-05-13,Wednesday,9,62,3,0,0.0,7.0,5.0,6,0,81.8
S268,2026-05-13,Wednesday,18,78,2,0,0.0,8.0,7.0,7,0,86.5
S044,2026-05-14,Thursday,13,65,1,0,0.0,7.0,5.0,4,2,80.3
S063,2026-05-15,Friday,11,101,2,0,0.0,8.0,9.0,7,0,84.7
S201,2026-05-15,Friday,11,98,2,1,1.0,7.0,6.0,9,0,98.0
S393,2026-05-15,Friday,11,90,0,0,1.0,8.0,7.0,11,1,98.7
S053,2026-05-15,Friday,13,22,2,0,0.0,8.0,7.0,4,0,57.8
S194,2026-05-15,Friday,15,113,3,0,1.0,5.0,5.0,6,1,65.7
S301,2026-05-15,Friday,16,70,0,0,0.0,9.0,6.0,8,0,88.1
S068,2026-05-16,Saturday,10,82,0,1,0.0,6.0,8.0,9,2,72.0
S022,2026-05-16,Saturday,13,80,3,0,0.0,6.0,6.0,6,1,63.0
S332,2026-05-16,Saturday,15,77,1,1,1.0,3.0,8.0,5,1,52.9
S374,2026-05-16,Saturday,16,37,4,1,0.0,6.0,,4,0,55.8
S379,2026-05-17,Sunday,17,105,0,0,0.0,7.0,6.0,7,0,83.1
S188,2026-05-17,Sunday,18,82,3,0,,5.0,8.0,5,2,71.4
S094,2026-05-18,Monday,9,106,3,0,1.0,7.0,8.0,6,1,83.4
S027,2026-05-20,Wednesday,8,61,3,0,1.0,7.0,4.0,5,0,68.0
S164,2026-05-20,Wednesday,9,111,1,1,1.0,9.0,6.0,7,0,81.8
S163,2026-05-20,Wednesday,10,40,0,1,0.0,7.0,7.0,7,0,89.3
S144,2026-05-20,Wednesday,14,73,3,0,0.0,7.0,2.0,4,0,71.2
S373,2026-05-21,Thursday,13,20,0,0,1.0,,7.0,4,0,76.9
S248,2026-05-21,Thursday,14,34,4,0,0.0,5.0,6.0,2,1,33.6
S165,2026-05-21,Thursday,15,101,3,0,1.0,4.0,7.0,5,1,72.5
S065,2026-05-21,Thursday,18,90,1,0,1.0,8.0,7.0,6,0,98.0
S275,2026-05-22,Friday,11,78,0,0,1.0,9.0,9.0,7,0,97.5
S005,2026-05-23,Saturday,8,50,3,0,1.0,4.0,4.0,5,0,68.1
S155,2026-05-23,Saturday,13,76,3,0,0.0,6.0,5.0,5,0,72.6
S238,2026-05-23,Saturday,13,61,2,0,0.0,3.0,6.0,4,2,66.4
S285,2026-05-24,Sunday,9,57,1,0,1.0,7.0,5.0,4,0,78.7
S004,2026-05-24,Sunday,10,36,0,0,1.0,7.0,7.0,8,2,89.6
S082,2026-05-24,Sunday,10,116,2,0,0.0,7.0,8.0,10,0,85.9
S298,2026-05-24,Sunday,14,33,4,0,0.0,5.0,4.0,2,0,52.6
S091,2026-05-24,Sunday,17,86,3,0,0.0,7.0,8.0,8,1,95.6
S121,2026-05-24,Sunday,18,54,3,0,1.0,7.0,6.0,3,0,67.1
S140,2026-05-24,Sunday,18,41,2,0,0.0,8.0,5.0,4,1,63.6
S354,2026-05-24,Sunday,18,75,3,0,0.0,4.0,7.0,4,2,57.5
S030,2026-05-25,Monday,9,106,4,0,1.0,8.0,7.0,8,0,80.7
S031,2026-05-25,Monday,10,99,1,1,1.0,7.0,8.0,7,1,86.9
S219,2026-05-25,Monday,10,86,0,0,1.0,10.0,7.0,9,0,100.0
S020,2026-05-25,Monday,12,64,2,1,0.0,8.0,9.0,7,0,76.7
S047,2026-05-25,Monday,14,61,1,0,0.0,7.0,7.0,6,0,81.7
S267,2026-05-25,Monday,15,73,2,1,0.0,6.0,6.0,6,0,84.6
S214,2026-05-25,Monday,17,59,1,0,1.0,9.0,7.0,7,0,93.1
S186,2026-05-25,Monday,20,81,2,0,0.0,5.0,5.0,4,0,63.6
S222,2026-05-26,Tuesday,9,112,4,0,0.0,9.0,6.0,6,0,84.8
S114,2026-05-26,Tuesday,12,82,4,0,0.0,6.0,6.0,5,0,69.4
S205,2026-05-26,Tuesday,21,63,0,0,0.0,7.0,6.0,5,0,75.2
S335,2026-05-27,Wednesday,8,84,0,0,1.0,7.0,6.0,6,0,76.5
S073,2026-05-27,Wednesday,9,80,1,0,1.0,8.0,8.0,5,1,87.5
S176,2026-05-27,Wednesday,10,67,2,0,0.0,8.0,10.0,5,2,84.7
S054,2026-05-27,Wednesday,11,124,1,0,0.0,9.0,4.0,7,0,98.2
S277,2026-05-27,Wednesday,12,76,2,1,0.0,8.0,9.0,6,0,85.8
S231,2026-05-27,Wednesday,18,48,2,0,0.0,6.0,6.0,4,2,62.8
S070,2026-05-28,Thursday,8,89,0,0,1.0,6.0,7.0,9,0,95.1
S109,2026-05-28,Thursday,11,78,2,0,1.0,7.0,8.0,5,1,63.6
S124,2026-05-28,Thursday,14,99,2,1,0.0,8.0,3.0,7,2,85.8
S290,2026-05-28,Thursday,14,45,1,0,1.0,5.0,6.0,6,1,74.5
S367,2026-05-28,Thursday,16,101,1,0,0.0,6.0,6.0,6,0,81.1
S276,2026-05-29,Friday,11,109,3,0,0.0,6.0,5.0,5,0,73.8
S076,2026-05-29,Friday,12,112,2,1,1.0,7.0,8.0,9,1,86.5
S282,2026-05-30,Saturday,10,46,1,0,1.0,,7.0,5,0,94.7
S284,2026-05-30,Saturday,11,67,1,0,1.0,8.0,6.0,8,0,82.4
S235,2026-05-31,Sunday,9,76,2,0,1.0,6.0,6.0,6,2,78.3
S055,2026-05-31,Sunday,11,145,6,0,1.0,7.0,9.0,8,1,94.7
S185,2026-05-31,Sunday,12,89,4,0,1.0,6.0,8.0,7,1,73.0
S183,2026-05-31,Sunday,16,85,4,0,1.0,5.0,8.0,7,1,65.0
S203,2026-05-31,Sunday,16,46,3,0,0.0,7.0,7.0,5,0,73.0
S252,2026-05-31,Sunday,17,102,2,0,0.0,7.0,6.0,7,0,78.3
S021,2026-06-01,Monday,11,107,3,1,0.0,7.0,6.0,8,0,85.4
S115,2026-06-01,Monday,12,70,4,0,0.0,7.0,9.0,5,1,76.0
S159,2026-06-01,Monday,13,78,2,0,0.0,8.0,8.0,7,3,73.1
S180,2026-06-01,Monday,15,55,1,0,1.0,6.0,8.0,5,1,75.9
S017,2026-06-02,Tuesday,10,53,2,0,0.0,9.0,8.0,4,0,81.1
S344,2026-06-02,Tuesday,20,58,0,0,0.0,5.0,3.0,5,1,67.0
S296,2026-06-03,Wednesday,14,91,0,0,0.0,6.0,9.0,7,0,71.8
S366,2026-06-03,Wednesday,15,86,0,0,0.0,7.0,6.0,4,0,75.5
S011,2026-06-04,Thursday,15,57,1,0,0.0,7.0,8.0,4,0,88.1
S351,2026-06-05,Friday,13,84,2,1,1.0,4.0,5.0,5,1,53.9
S229,2026-06-06,Saturday,9,113,2,0,0.0,6.0,6.0,6,0,81.3
S305,2026-06-06,Saturday,13,96,3,0,0.0,3.0,7.0,3,1,49.4
S289,2026-06-06,Saturday,14,93,4,0,0.0,6.0,8.0,4,1,64.8
S029,2026-06-06,Saturday,15,87,4,0,0.0,6.0,7.0,7,2,72.1
S331,2026-06-06,Saturday,15,47,1,0,0.0,8.0,5.0,6,0,76.4
S057,2026-06-06,Saturday,16,32,3,0,0.0,7.0,5.0,6,1,55.3
S295,2026-06-06,Saturday,16,53,2,0,0.0,8.0,6.0,6,0,83.8
S132,2026-06-07,Sunday,10,84,3,0,0.0,8.0,9.0,5,0,74.4
S113,2026-06-07,Sunday,11,80,2,1,1.0,7.0,7.0,6,1,75.2
S330,2026-06-07,Sunday,11,84,2,0,0.0,6.0,9.0,4,2,57.5
S034,2026-06-07,Sunday,14,52,0,0,0.0,5.0,6.0,5,1,77.3
S158,2026-06-07,Sunday,16,81,2,0,0.0,6.0,5.0,4,0,67.9
S308,2026-06-07,Sunday,17,51,0,0,0.0,6.0,6.0,6,0,77.6
S126,2026-06-08,Monday,15,52,2,0,1.0,,10.0,5,2,83.6
S131,2026-06-08,Monday,16,87,3,0,1.0,6.0,8.0,4,1,58.5
S079,2026-06-08,Monday,17,82,1,0,0.0,9.0,9.0,8,0,97.6
S134,2026-06-08,Monday,17,75,0,0,0.0,9.0,6.0,7,0,96.0
S116,2026-06-09,Tuesday,11,110,1,0,0.0,8.0,6.0,6,0,98.7
S288,2026-06-09,Tuesday,11,74,5,0,1.0,7.0,7.0,4,0,83.8
S129,2026-06-10,Wednesday,14,54,3,0,0.0,7.0,6.0,6,0,76.8
S266,2026-06-10,Wednesday,15,114,4,1,0.0,9.0,5.0,7,0,77.2
S228,2026-06-10,Wednesday,17,103,1,0,0.0,6.0,3.0,9,0,81.5
S242,2026-06-11,Thursday,10,95,1,0,1.0,6.0,7.0,6,0,88.8
S260,2026-06-11,Thursday,15,68,2,0,0.0,6.0,7.0,6,0,74.2
S270,2026-06-12,Friday,13,145,1,0,1.0,6.0,7.0,7,1,83.1
S137,2026-06-13,Saturday,9,89,3,0,1.0,7.0,6.0,7,1,88.1
S394,2026-06-13,Saturday,14,69,2,0,0.0,4.0,7.0,5,3,69.4
S269,2026-06-14,Sunday,10,97,1,1,1.0,7.0,10.0,6,0,86.7
S323,2026-06-14,Sunday,10,55,0,1,0.0,6.0,4.0,5,1,65.9
S193,2026-06-14,Sunday,14,112,2,0,1.0,6.0,6.0,7,1,92.6
S343,2026-06-15,Monday,17,34,4,0,0.0,8.0,6.0,3,2,65.6
S192,2026-06-16,Tuesday,10,61,0,0,1.0,7.0,7.0,8,1,87.1
S245,2026-06-16,Tuesday,11,121,2,0,0.0,9.0,8.0,11,0,100.0
S085,2026-06-16,Tuesday,14,75,1,0,0.0,8.0,3.0,5,0,84.3
S240,2026-06-16,Tuesday,14,66,2,0,0.0,4.0,10.0,3,1,68.1
S040,2026-06-17,Wednesday,9,105,1,1,0.0,7.0,10.0,8,1,87.3
S130,2026-06-17,Wednesday,11,69,1,0,1.0,6.0,8.0,6,1,100.0
S099,2026-06-17,Wednesday,16,83,2,1,1.0,7.0,9.0,9,1,87.7
S341,2026-06-17,Wednesday,20,77,0,0,1.0,6.0,5.0,5,1,80.8
S026,2026-06-18,Thursday,18,103,4,0,0.0,6.0,6.0,7,1,65.3
S244,2026-06-19,Friday,10,78,1,0,1.0,7.0,6.0,6,0,87.6
S123,2026-06-19,Friday,11,85,1,0,1.0,,10.0,9,1,100.0
S003,2026-06-19,Friday,13,83,1,0,1.0,7.0,5.0,7,1,70.5
S255,2026-06-20,Saturday,9,123,1,1,0.0,5.0,5.0,6,0,60.1
S237,2026-06-20,Saturday,10,78,0,1,1.0,6.0,7.0,8,0,73.4
S316,2026-06-20,Saturday,10,80,3,1,0.0,6.0,6.0,5,0,67.8
S156,2026-06-20,Saturday,13,87,2,0,0.0,5.0,6.0,6,1,64.5
S372,2026-06-20,Saturday,17,83,2,0,0.0,8.0,5.0,8,2,89.1
S311,2026-06-21,Sunday,9,80,1,0,1.0,7.0,9.0,5,0,95.8
S162,2026-06-21,Sunday,10,53,2,0,1.0,7.0,7.0,6,2,70.2
S122,2026-06-21,Sunday,13,55,4,0,1.0,7.0,6.0,5,3,61.5
S283,2026-06-21,Sunday,14,90,2,0,0.0,5.0,7.0,5,1,50.6
S108,2026-06-21,Sunday,15,65,3,0,0.0,6.0,7.0,2,1,52.1
S080,2026-06-21,Sunday,17,56,2,0,0.0,7.0,7.0,7,0,78.9
S049,2026-06-22,Monday,12,63,3,0,1.0,7.0,8.0,4,0,100.0
S312,2026-06-22,Monday,17,20,0,0,0.0,9.0,6.0,3,1,75.4
S257,2026-06-22,Monday,20,57,1,0,1.0,6.0,4.0,4,1,74.6
S060,2026-06-23,Tuesday,14,71,4,0,1.0,8.0,6.0,5,0,77.7
S075,2026-06-23,Tuesday,15,71,4,0,1.0,6.0,7.0,5,1,57.7
S191,2026-06-23,Tuesday,15,63,2,0,1.0,9.0,6.0,7,0,85.0
S098,2026-06-23,Tuesday,16,93,6,1,0.0,6.0,8.0,5,2,59.9
S184,2026-06-24,Wednesday,13,102,2,0,0.0,5.0,7.0,4,0,74.0
S223,2026-06-25,Thursday,8,76,2,0,1.0,5.0,9.0,5,0,70.4
S175,2026-06-25,Thursday,10,82,3,0,1.0,8.0,9.0,5,0,84.4
S204,2026-06-25,Thursday,10,88,0,0,1.0,6.0,8.0,8,1,87.2
S043,2026-06-25,Thursday,11,121,2,0,0.0,8.0,8.0,5,0,81.3
S086,2026-06-25,Thursday,12,55,4,1,1.0,7.0,7.0,7,2,53.0
S008,2026-06-25,Thursday,15,91,2,0,0.0,7.0,4.0,7,0,85.7
S110,2026-06-26,Friday,10,106,2,0,1.0,5.0,7.0,8,1,85.3
S395,2026-06-27,Saturday,8,73,3,0,0.0,7.0,8.0,6,0,66.6
S236,2026-06-27,Saturday,10,95,6,1,1.0,7.0,8.0,5,1,68.3
S015,2026-06-27,Saturday,15,80,1,0,0.0,8.0,5.0,8,1,96.5
S212,2026-06-27,Saturday,15,51,3,0,1.0,7.0,7.0,5,0,72.7
S177,2026-06-27,Saturday,18,120,0,0,1.0,6.0,5.0,8,1,87.6
S174,2026-06-28,Sunday,11,89,2,0,0.0,7.0,9.0,7,2,73.3
S225,2026-06-28,Sunday,14,51,2,0,0.0,5.0,6.0,5,2,57.0
S318,2026-06-28,Sunday,16,68,1,0,1.0,7.0,7.0,4,0,88.4
S215,2026-06-29,Monday,8,47,0,0,0.0,8.0,6.0,6,0,100.0
S013,2026-06-29,Monday,10,124,3,0,0.0,7.0,9.0,6,1,85.4
S317,2026-06-29,Monday,11,90,1,0,1.0,5.0,7.0,7,0,70.2
S377,2026-06-29,Monday,18,49,4,0,0.0,7.0,7.0,3,1,53.5
S059,2026-06-30,Tuesday,9,83,1,0,1.0,7.0,,8,1,100.0
S062,2026-06-30,Tuesday,17,88,0,0,1.0,8.0,9.0,7,0,88.1
S360,2026-07-01,Wednesday,13,50,1,0,0.0,7.0,9.0,5,0,65.9
S378,2026-07-01,Wednesday,14,59,1,0,0.0,9.0,5.0,5,0,86.0
S391,2026-07-01,Wednesday,18,59,1,0,0.0,8.0,6.0,7,2,81.8
S051,2026-07-02,Thursday,15,105,0,0,0.0,6.0,5.0,7,0,82.4
S014,2026-07-02,Thursday,16,48,5,0,1.0,8.0,8.0,5,1,49.2
S042,2026-07-02,Thursday,16,61,4,0,1.0,6.0,7.0,1,0,49.5
S234,2026-07-02,Thursday,17,71,1,0,1.0,8.0,6.0,7,0,96.5
S247,2026-07-02,Thursday,20,20,0,0,1.0,7.0,6.0,3,0,72.1
S207,2026-07-03,Friday,11,109,3,0,1.0,8.0,7.0,6,2,80.3
S089,2026-07-03,Friday,13,37,0,1,,6.0,8.0,6,2,68.3
S128,2026-07-03,Friday,14,98,2,0,1.0,5.0,5.0,6,1,84.9
S320,2026-07-03,Friday,17,60,1,0,1.0,5.0,7.0,7,1,80.3
S050,2026-07-04,Saturday,12,66,8,1,1.0,4.0,5.0,2,0,42.4
S173,2026-07-04,Saturday,12,55,2,0,0.0,8.0,8.0,5,0,76.4
S370,2026-07-04,Saturday,14,82,2,0,1.0,6.0,7.0,7,2,82.8
S002,2026-07-04,Saturday,19,59,1,0,0.0,4.0,6.0,2,0,63.2
S025,2026-07-05,Sunday,11,76,1,0,0.0,6.0,7.0,4,0,82.7
S107,2026-07-05,Sunday,12,64,2,0,0.0,7.0,10.0,6,1,79.5
S112,2026-07-05,Sunday,12,65,5,0,0.0,8.0,7.0,4,0,79.9
S160,2026-07-05,Sunday,14,92,0,1,1.0,6.0,7.0,7,0,86.2
S278,2026-07-05,Sunday,14,81,3,0,1.0,5.0,7.0,3,0,51.8
S016,2026-07-05,Sunday,16,115,4,0,0.0,9.0,5.0,7,1,93.2
S210,2026-07-05,Sunday,21,66,0,0,1.0,5.0,4.0,6,2,67.9
